search_term;url
Product Uses as Substitutes for Ozone Depleting Substances;https://ccis.environment.gov.za/nccrd/#/
Other Product Manufacture and Use;https://ccis.environment.gov.za/nccrd/#/
Other Industrial Processess;https://ccis.environment.gov.za/nccrd/#/
Agriculture;https://ccis.environment.gov.za/nccrd/#/
Conservation;https://ccis.environment.gov.za/nccrd/#/
Fisheries;https://ccis.environment.gov.za/nccrd/#/
Forestry;https://ccis.environment.gov.za/nccrd/#/
Solid Waste Disposal;https://ccis.environment.gov.za/nccrd/#/
Wastewater Treatment and Discharge;https://ccis.environment.gov.za/nccrd/#/
Afforestation;https://ccis.environment.gov.za/nccrd/#/
Agriculture;https://ccis.environment.gov.za/nccrd/#/
Biomass Energy;https://ccis.environment.gov.za/nccrd/#/
Biogas;https://ccis.environment.gov.za/nccrd/#/
Cement;https://ccis.environment.gov.za/nccrd/#/
Coal Bed Mine Methane;https://ccis.environment.gov.za/nccrd/#/
EE Households;https://ccis.environment.gov.za/nccrd/#/
EE Industry;https://ccis.environment.gov.za/nccrd/#/
EE Own Generation;https://ccis.environment.gov.za/nccrd/#/
EE Service;https://ccis.environment.gov.za/nccrd/#/
EE Supply Side;https://ccis.environment.gov.za/nccrd/#/
Energy Distribution;https://ccis.environment.gov.za/nccrd/#/
Fossil Fuel Switch;https://ccis.environment.gov.za/nccrd/#/
Fugitive Gases;https://ccis.environment.gov.za/nccrd/#/
Geothermal;https://ccis.environment.gov.za/nccrd/#/
HFCs;https://ccis.environment.gov.za/nccrd/#/
Hydro;https://ccis.environment.gov.za/nccrd/#/
Landfill Gas;https://ccis.environment.gov.za/nccrd/#/
N2O;https://ccis.environment.gov.za/nccrd/#/
PFCs;https://ccis.environment.gov.za/nccrd/#/
Reforestation;https://ccis.environment.gov.za/nccrd/#/
Solar;https://ccis.environment.gov.za/nccrd/#/
Tidal;https://ccis.environment.gov.za/nccrd/#/
Transport;https://ccis.environment.gov.za/nccrd/#/
Wind;https://ccis.environment.gov.za/nccrd/#/
Agricultural residues: Mustard crop;https://ccis.environment.gov.za/nccrd/#/
Agricultural Residues: Other Kinds;https://ccis.environment.gov.za/nccrd/#/
Agricultural Residues: Poultry Litter;https://ccis.environment.gov.za/nccrd/#/
Agricultural Residues: Rice Husk;https://ccis.environment.gov.za/nccrd/#/
Bagasse Power;https://ccis.environment.gov.za/nccrd/#/
Biodiesel;https://ccis.environment.gov.za/nccrd/#/
Black Liquor;https://ccis.environment.gov.za/nccrd/#/
Ethanol;https://ccis.environment.gov.za/nccrd/#/
Forest Biomass;https://ccis.environment.gov.za/nccrd/#/
Forest Residues: Other;https://ccis.environment.gov.za/nccrd/#/
Forest Residues: Sawmill Waste;https://ccis.environment.gov.za/nccrd/#/
Gasification of Biomass;https://ccis.environment.gov.za/nccrd/#/
Industrial Waste;https://ccis.environment.gov.za/nccrd/#/
Irrigation;https://ccis.environment.gov.za/nccrd/#/
Palm Oil Solid Waste;https://ccis.environment.gov.za/nccrd/#/
Biogas Flaring;https://ccis.environment.gov.za/nccrd/#/
Biogas Power;https://ccis.environment.gov.za/nccrd/#/
Coal Mine Methane;https://ccis.environment.gov.za/nccrd/#/
Building Materials;https://ccis.environment.gov.za/nccrd/#/
Cement;https://ccis.environment.gov.za/nccrd/#/
Chemicals;https://ccis.environment.gov.za/nccrd/#/
Coke Oven;https://ccis.environment.gov.za/nccrd/#/
Construction;https://ccis.environment.gov.za/nccrd/#/
Electronics;https://ccis.environment.gov.za/nccrd/#/
Food;https://ccis.environment.gov.za/nccrd/#/
Glass;https://ccis.environment.gov.za/nccrd/#/
Iron & Steel;https://ccis.environment.gov.za/nccrd/#/
Machinery;https://ccis.environment.gov.za/nccrd/#/
Metal products;https://ccis.environment.gov.za/nccrd/#/
Mining;https://ccis.environment.gov.za/nccrd/#/
Non-Ferrous Metals;https://ccis.environment.gov.za/nccrd/#/
Paper;https://ccis.environment.gov.za/nccrd/#/
Petrochemicals;https://ccis.environment.gov.za/nccrd/#/
Textiles;https://ccis.environment.gov.za/nccrd/#/
Wood;https://ccis.environment.gov.za/nccrd/#/
Existing Dam;https://ccis.environment.gov.za/nccrd/#/
New Dam;https://ccis.environment.gov.za/nccrd/#/
Run of River;https://ccis.environment.gov.za/nccrd/#/
Combustion for MSW;https://ccis.environment.gov.za/nccrd/#/
Composting;https://ccis.environment.gov.za/nccrd/#/
Gasification of MSW;https://ccis.environment.gov.za/nccrd/#/
Landfill Flaring;https://ccis.environment.gov.za/nccrd/#/
Landfill Power;https://ccis.environment.gov.za/nccrd/#/
Adipic Acid;https://ccis.environment.gov.za/nccrd/#/
Caprolactam;https://ccis.environment.gov.za/nccrd/#/
Nitric Acid;https://ccis.environment.gov.za/nccrd/#/
Solar Coking;https://ccis.environment.gov.za/nccrd/#/
Solar PV;https://ccis.environment.gov.za/nccrd/#/
Solar Water Heating;https://ccis.environment.gov.za/nccrd/#/
CDM;https://ccis.environment.gov.za/nccrd/#/
Emissions;https://ccis.environment.gov.za/nccrd/#/
GHG;https://ccis.environment.gov.za/nccrd/#/
Green house gas;https://ccis.environment.gov.za/nccrd/#/
CO2;https://ccis.environment.gov.za/nccrd/#/
CH4;https://ccis.environment.gov.za/nccrd/#/
NO2;https://ccis.environment.gov.za/nccrd/#/
Loss sharing;https://ccis.environment.gov.za/nccrd/#/
Loss prevention;https://ccis.environment.gov.za/nccrd/#/
Behaviour modification;https://ccis.environment.gov.za/nccrd/#/
Relocation;https://ccis.environment.gov.za/nccrd/#/
Research & Development;https://ccis.environment.gov.za/nccrd/#/
Research;https://ccis.environment.gov.za/nccrd/#/
HFCs;https://ccis.environment.gov.za/nccrd/#/
PFCs;https://ccis.environment.gov.za/nccrd/#/
SF6;https://ccis.environment.gov.za/nccrd/#/
